,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,belushya guba,,,,,,,,
1,kapaa,US,2020-10-10 12:19:33,22.08,-159.32,20,69,80.86999999999996,5.7
2,tsihombe,,,,,,,,
3,chuy,UY,2020-10-10 12:19:33,-33.7,-53.46,0,60,61.358000000000004,2.93
4,ushuaia,AR,2020-10-10 12:19:33,-54.8,-68.3,20,37,53.86999999999996,6.2
5,auki,SB,2020-10-10 12:19:33,-8.77,160.7,97,87,77.88200000000002,1.91
6,khor,RU,2020-10-10 12:19:33,47.89,134.95,41,73,47.39000000000002,2.35
7,khatanga,RU,2020-10-10 12:19:34,71.97,102.5,100,98,20.101999999999975,3.8
8,de-kastri,RU,2020-10-10 12:19:34,51.47,140.78,87,77,49.29800000000003,2.32
9,illoqqortoormiut,,,,,,,,
10,jamestown,US,2020-10-10 12:17:48,42.1,-79.24,1,60,73.27400000000002,7.2
11,narsaq,GL,2020-10-10 12:19:34,60.92,-46.05,40,83,50.26999999999996,4.1
12,rabaul,PG,2020-10-10 12:19:34,-4.2,152.17,85,79,79.91600000000001,0.66
13,saint-francois,FR,2020-10-10 12:19:34,46.42,3.91,35,78,52.26799999999999,0.45
14,severo-kurilsk,RU,2020-10-10 12:19:34,50.68,156.12,24,75,44.708000000000006,7.43
15,bauchi,NG,2020-10-10 12:19:34,10.5,10,0,53,84.12799999999996,1.56
16,taolanaro,,,,,,,,
17,tuktoyaktuk,CA,2020-10-10 12:19:35,69.45,-133.04,90,74,30.46999999999996,3.1
18,mataura,NZ,2020-10-10 12:19:35,-46.19,168.86,100,76,53.27599999999999,2.24
19,songea,TZ,2020-10-10 12:19:35,-10.68,35.65,20,51,82.66999999999996,2.6
20,vaini,TO,2020-10-10 12:19:35,-21.2,-175.2,75,94,71.86999999999996,4.1
21,punta arenas,CL,2020-10-10 12:19:35,-53.15,-70.92,96,61,52.069999999999965,17
22,adrar,MR,2020-10-10 12:19:35,20.5,-10.07,0,10,95.12599999999999,1.58
23,laguna,US,2020-10-10 12:19:35,38.42,-121.42,1,77,67.26199999999996,3.6
24,havre,FR,2020-10-10 12:19:36,49.58,0.33,90,66,55.66999999999996,7.7
25,laval,CA,2020-10-10 12:15:13,45.57,-73.69,75,56,73.27400000000002,9.3
26,touros,BR,2020-10-10 12:19:36,-5.2,-35.46,40,62,86.26999999999995,6.7
27,port alfred,ZA,2020-10-10 12:19:36,-33.59,26.89,77,74,55.88599999999997,6.5
28,geraldton,AU,2020-10-10 12:19:36,-28.77,114.6,40,82,57.469999999999956,3.6
29,sal rei,CV,2020-10-10 12:19:36,16.18,-22.92,75,74,84.46999999999997,8.7
30,nardaran,AZ,2020-10-10 12:19:36,40.56,50.01,0,63,61.069999999999965,4.1
31,saleaula,,,,,,,,
32,talakan,RU,2020-10-10 12:19:37,50.32,130.37,7,94,45.464000000000034,1.53
33,tiksi,RU,2020-10-10 12:19:37,71.69,128.87,82,94,16.25,4.6
34,avarua,CK,2020-10-10 12:19:37,-21.21,-159.78,75,100,73.66999999999996,2.6
35,huarmey,PE,2020-10-10 12:19:37,-10.07,-78.15,50,63,70.75399999999996,4.38
36,sao filipe,CV,2020-10-10 12:19:37,14.9,-24.5,0,74,82.32799999999997,2.57
37,airai,TL,2020-10-10 12:19:37,-8.93,125.41,89,65,61.23200000000001,1.82
38,provideniya,RU,2020-10-10 12:19:37,64.38,-173.3,100,83,36.464000000000034,6.22
39,omboue,GA,2020-10-10 12:17:07,-1.57,9.26,100,84,77.66600000000001,5.04
40,chokurdakh,RU,2020-10-10 12:19:37,70.63,147.92,100,94,23.701999999999977,3.31
41,rio gallegos,AR,2020-10-10 12:19:37,-51.62,-69.22,83,11,64.66999999999996,13.9
42,bathsheba,BB,2020-10-10 12:19:38,13.22,-59.52,40,70,88.06999999999996,6.2
43,rikitea,PF,2020-10-10 12:19:38,-23.12,-134.97,16,82,73.92200000000004,8.02
44,calabozo,VE,2020-10-10 12:19:38,8.92,-67.43,71,67,87.85399999999996,0.63
45,hurricane,US,2020-10-10 12:19:38,37.18,-113.29,1,26,77.26999999999995,1.5
46,hilo,US,2020-10-10 12:19:38,19.73,-155.09,1,64,71.27599999999998,3.6
47,birobidzhan,RU,2020-10-10 12:19:38,48.8,132.95,100,93,47.73200000000001,0.66
48,garowe,SO,2020-10-10 12:19:38,8.41,48.48,0,35,86.28800000000004,2.52
49,bilma,NE,2020-10-10 12:19:38,18.69,12.92,0,11,93.23599999999996,2.86
50,hermanus,ZA,2020-10-10 12:18:08,-34.42,19.23,5,74,55.274000000000015,1.34
51,burkhala,,,,,,,,
52,umzimvubu,,,,,,,,
53,carnarvon,AU,2020-10-10 12:19:39,-24.87,113.63,0,82,66.46999999999997,8.2
54,east london,ZA,2020-10-10 12:14:59,-33.02,27.91,40,76,55.66999999999996,6.2
55,attawapiskat,,,,,,,,
56,isangel,VU,2020-10-10 12:19:39,-19.55,169.27,89,85,76.13599999999997,4.93
57,bredasdorp,ZA,2020-10-10 12:19:39,-34.53,20.04,0,54,59.26999999999996,5.7
58,high level,CA,2020-10-10 12:19:39,58.52,-117.14,90,100,41.26999999999996,1
59,puerto baquerizo moreno,EC,2020-10-10 12:19:39,-0.9,-89.6,75,83,71.86999999999996,6.2
60,saskylakh,RU,2020-10-10 12:19:40,71.92,114.08,46,94,8.78000000000004,2.06
61,olafsvik,IS,2020-10-10 12:19:40,64.89,-23.71,98,72,46.346000000000046,3.1
62,arraial do cabo,BR,2020-10-10 12:19:40,-22.97,-42.03,75,78,77.26999999999995,6.7
63,hithadhoo,MV,2020-10-10 12:19:40,-0.6,73.08,71,74,83.65999999999998,5.49
64,pevek,RU,2020-10-10 12:19:40,69.7,170.31,100,91,33.061999999999955,6.7
65,bukama,CD,2020-10-10 12:19:40,-9.2,25.85,41,51,82.66999999999996,1.06
66,miracatu,BR,2020-10-10 12:19:40,-24.28,-47.46,39,50,80.16799999999998,3.12
67,safaga,EG,2020-10-10 12:19:40,26.73,33.94,53,45,88.06999999999996,8.2
68,beloha,MG,2020-10-10 12:19:40,-25.17,45.05,0,75,69.72799999999997,2.03
69,takaungu,KE,2020-10-10 12:19:41,-3.68,39.86,20,78,79.06999999999996,2.1
70,hasaki,JP,2020-10-10 12:19:41,35.73,140.83,75,100,64.66999999999996,7.2
71,fort nelson,CA,2020-10-10 12:15:03,58.81,-122.7,75,93,35.86999999999996,2.1
72,misratah,LY,2020-10-10 12:19:41,32.38,15.09,0,67,76.60399999999996,6.3
73,kaitangata,NZ,2020-10-10 12:19:41,-46.28,169.85,95,64,55.274000000000015,1.34
74,san cristobal,VE,2020-10-10 12:19:41,7.77,-72.22,20,41,93.46999999999997,4.1
75,satitoa,,,,,,,,
76,nyagan,RU,2020-10-10 12:19:41,62.14,65.39,94,95,43.79000000000002,2.4
77,mae sai,TH,2020-10-10 12:19:41,20.43,99.88,11,100,72.26600000000002,1
78,codrington,AU,2020-10-10 12:19:41,-38.27,141.97,95,86,47.04800000000002,1.93
79,sinnamary,GF,2020-10-10 12:19:42,5.38,-52.95,5,60,88.142,5.46
80,tura,IN,2020-10-10 12:19:42,25.52,90.22,0,94,75.70399999999995,0.84
81,semirom,IR,2020-10-10 12:19:42,31.42,51.57,0,81,35.096000000000046,1.72
82,vaitape,PF,2020-10-10 12:19:42,-16.52,-151.75,9,77,79.50199999999998,7.44
83,mandsaur,IN,2020-10-10 12:18:14,24.07,75.07,0,34,77.26999999999995,1.08
84,tambura,SS,2020-10-10 12:19:42,5.6,27.47,83,91,73.00399999999996,0.98
85,oranjestad,AW,2020-10-10 12:18:36,12.52,-70.03,40,59,89.86999999999996,7.7
86,lolua,,,,,,,,
87,castro,BR,2020-10-10 12:19:42,-24.79,-50.01,0,36,72.40999999999998,3.15
88,victoria,HK,2020-10-10 12:18:18,22.29,114.16,38,76,80.27599999999998,0.45
89,saint george,US,2020-10-10 12:18:44,37.1,-113.58,1,26,77.26999999999995,1.5
90,cabra,ES,2020-10-10 12:19:43,37.47,-4.44,67,26,84.27200000000005,2.58
91,muzhi,RU,2020-10-10 12:19:43,65.37,64.67,100,95,40.87400000000001,1.25
92,kodiak,US,2020-10-10 12:19:43,57.79,-152.41,75,93,39.469999999999956,2.39
93,newtonmore,GB,2020-10-10 12:19:43,57.07,-4.12,75,87,51.27799999999996,5.1
94,miastko,PL,2020-10-10 12:19:43,54,16.98,100,87,48.272000000000034,2.56
95,upernavik,GL,2020-10-10 12:19:43,72.79,-56.15,2,71,38.65999999999998,0.8
96,saint-pierre,RE,2020-10-10 12:16:13,-21.34,55.48,75,73,75.46999999999997,1
97,kavaratti,IN,2020-10-10 12:19:44,10.57,72.64,100,81,81.87799999999996,6.58
98,puerto ayora,EC,2020-10-10 12:19:44,-0.74,-90.35,100,64,75.46999999999997,4.1
99,lompoc,US,2020-10-10 12:15:32,34.64,-120.46,90,82,66.46999999999997,2.6
100,bara,NG,2020-10-10 12:19:44,10.37,10.73,20,58,88.06999999999996,2.99
101,barentsburg,,,,,,,,
102,belyy yar,RU,2020-10-10 12:19:44,53.6,91.39,100,69,34.06999999999996,4
103,upington,ZA,2020-10-10 12:19:44,-28.45,21.26,0,22,68.26999999999995,2.6
104,fortuna,US,2020-10-10 12:19:44,40.6,-124.16,90,82,63.266000000000005,4.1
105,the valley,AI,2020-10-10 12:19:44,18.22,-63.06,40,83,88.06999999999996,3.1
106,asau,RO,2020-10-10 12:19:45,46.43,26.4,96,98,57.272000000000034,0.37
107,boguchany,RU,2020-10-10 12:19:45,58.38,97.45,100,97,28.75999999999998,3.04
108,tailai,CN,2020-10-10 12:19:45,46.38,123.4,96,94,52.26799999999999,0.45
109,naze,JP,2020-10-10 12:19:45,28.37,129.48,20,78,79.06999999999996,3.6
110,korla,CN,2020-10-10 12:17:43,41.76,86.15,80,43,50.07200000000004,1.91
111,kozhva,RU,2020-10-10 12:19:45,65.11,57.05,93,95,44.653999999999954,2.15
112,uvira,CD,2020-10-10 12:19:45,-3.41,29.15,44,62,76.892,0.73
113,tahoua,NE,2020-10-10 12:19:45,14.89,5.27,55,25,97.41199999999996,2.11
114,hervey bay,AU,2020-10-10 12:19:45,-25.3,152.85,35,89,65.26400000000004,1.34
115,busselton,AU,2020-10-10 12:19:46,-33.65,115.33,0,74,54.266000000000005,3.7
116,ilulissat,GL,2020-10-10 12:19:46,69.22,-51.1,75,36,48.469999999999956,12.9
117,jawa,JO,2020-10-10 12:17:20,31.85,35.94,2,44,80.86999999999996,2.1
118,pakxan,LA,2020-10-10 12:19:46,18.38,103.66,25,83,69.60199999999998,2.29
119,irituia,BR,2020-10-10 12:19:46,-1.77,-47.44,2,28,101.03000000000004,2.13
120,saint-philippe,RE,2020-10-10 12:19:46,-21.36,55.77,75,73,75.46999999999997,1
121,albany,US,2020-10-10 12:17:53,42.6,-73.97,0,67,72.26600000000002,1.79
122,flinders,AU,2020-10-10 12:19:46,-34.58,150.86,0,65,57.272000000000034,0.45
123,lorengau,PG,2020-10-10 12:19:46,-2.02,147.27,100,80,78.33200000000002,3.22
124,sindor,RU,2020-10-10 12:19:46,62.86,51.89,100,96,48.38000000000004,2.69
125,port hardy,CA,2020-10-10 12:19:47,50.7,-127.42,75,93,48.469999999999956,4.6
126,roald,NO,2020-10-10 12:19:47,62.58,6.13,40,81,50.26999999999996,7.7
127,thompson,CA,2020-10-10 12:19:47,55.74,-97.86,90,86,28.66999999999996,2.6
128,mar del plata,AR,2020-10-10 12:16:38,-38,-57.56,2,42,65.26400000000004,4.1
129,qaanaaq,GL,2020-10-10 12:19:47,77.48,-69.36,98,87,28.52599999999999,3.35
130,aja,EG,2020-10-10 12:19:47,30.94,31.29,0,71,73.076,2.64
131,bodden town,KY,2020-10-10 12:19:47,19.28,-81.25,40,74,88.26799999999999,4.6
132,dikson,RU,2020-10-10 12:19:47,73.51,80.55,100,95,32.70199999999998,8.93
133,dingle,PH,2020-10-10 12:19:47,11,122.67,97,89,76.98200000000003,1.08
134,flin flon,CA,2020-10-10 12:19:48,54.77,-101.86,90,86,34.06999999999996,4.1
135,melfort,CA,2020-10-10 12:19:48,52.87,-104.62,1,65,46.66999999999996,9.3
136,iskateley,RU,2020-10-10 12:19:48,67.68,53.15,90,90,45.76999999999996,3.65
137,vao,NC,2020-10-10 12:19:48,-22.67,167.48,41,88,72.62599999999999,8.35
138,bocanda,CI,2020-10-10 12:19:48,7.06,-4.5,50,90,79.17799999999997,2.12
139,tasiilaq,GL,2020-10-10 12:19:48,65.61,-37.64,75,94,34.06999999999996,15.4
140,fukue,JP,2020-10-10 12:19:48,32.69,128.84,34,82,70.21400000000003,10.27
141,klaksvik,FO,2020-10-10 12:19:48,62.23,-6.59,100,93,44.86999999999996,8.7
142,honiara,SB,2020-10-10 12:19:48,-9.43,159.95,20,100,73.66999999999996,1
143,evans,US,2020-10-10 12:19:48,33.53,-82.13,100,81,78.27799999999996,0.89
144,bluff,NZ,2020-10-10 12:19:49,-46.6,168.33,100,76,53.27599999999999,2.24
145,hobart,AU,2020-10-10 12:15:35,-42.88,147.33,75,66,52.069999999999965,3.6
146,luwuk,ID,2020-10-10 12:19:49,-0.95,122.79,91,78,77.28800000000004,2.24
147,bengkulu,ID,2020-10-10 12:19:49,-3.8,102.27,100,91,76.424,1.79
148,barrow,US,2020-10-10 12:19:49,71.29,-156.79,90,63,28.66999999999996,10.8
149,pisco,PE,2020-10-10 12:19:49,-13.7,-76.22,90,82,64.66999999999996,4.1
150,mahebourg,MU,2020-10-10 12:19:49,-20.41,57.7,40,88,75.46999999999997,1.5
151,tibiri,NE,2020-10-10 12:19:49,13.56,7.05,20,52,91.66999999999996,1.29
152,komsomolskiy,UZ,2020-10-10 12:19:49,40.43,71.72,75,87,52.069999999999965,1
153,agadez,NE,2020-10-10 12:19:50,19.75,10.25,22,13,91.34600000000006,3.52
154,cape town,ZA,2020-10-10 12:13:01,-33.93,18.42,20,54,63.266000000000005,7.7
155,zhob,PK,2020-10-10 12:19:50,31.34,69.45,0,21,71.20399999999995,3.57
156,saldanha,ZA,2020-10-10 12:19:50,-33.01,17.94,0,28,70.06999999999996,7.7
157,antalaha,MG,2020-10-10 12:19:50,-14.9,50.28,91,91,75.59600000000006,3.19
158,tadine,NC,2020-10-10 12:19:50,-21.55,167.88,32,88,72.98599999999996,7.02
159,cherskiy,RU,2020-10-10 12:19:50,68.75,161.3,89,97,20.44399999999997,1.9
160,livingston,GB,2020-10-10 12:17:23,55.9,-3.52,75,66,55.66999999999996,3.1
161,nurota,UZ,2020-10-10 12:19:50,40.56,65.69,0,46,50.26999999999996,2.1
162,colac,AU,2020-10-10 12:19:50,-38.33,143.58,93,98,45.266000000000005,1.2
163,zalantun,CN,2020-10-10 12:19:51,48,122.72,94,55,46.05800000000001,6.31
164,torbay,CA,2020-10-10 12:19:51,47.67,-52.73,75,50,53.27599999999999,12.3
165,hartselle,US,2020-10-10 12:19:51,34.44,-86.94,90,94,71.27599999999998,4.1
166,ixtapa,MX,2020-10-10 12:19:51,20.7,-105.2,5,74,88.26799999999999,1.32
167,faya,SA,2020-10-10 12:19:51,18.39,42.45,94,15,71.86999999999996,6.2
168,hovd,MN,2020-10-10 12:19:51,48.01,91.64,0,84,29.282000000000018,0.53
169,georgetown,MY,2020-10-10 12:15:10,5.41,100.34,20,88,80.86999999999996,1.5
170,bundaberg,AU,2020-10-10 12:19:51,-24.85,152.35,90,88,67.26199999999996,3.1
171,yar-sale,RU,2020-10-10 12:19:51,66.83,70.83,100,93,35.15,5.05
172,banloc,RO,2020-10-10 12:19:51,45.38,21.14,20,82,57.469999999999956,1.5
173,atuona,PF,2020-10-10 12:19:52,-9.8,-139.03,1,77,78.35,8.8
174,northam,GB,2020-10-10 12:19:52,51.03,-4.22,95,85,53.27599999999999,4.47
175,altamont,US,2020-10-10 12:19:52,42.21,-121.74,90,76,53.86999999999996,4.6
176,longyearbyen,SJ,2020-10-10 12:19:52,78.22,15.64,40,68,28.66999999999996,7.2
177,karratha,AU,2020-10-10 12:19:52,-20.74,116.85,29,69,70.01600000000002,5.96
178,souillac,MU,2020-10-10 12:19:52,-20.52,57.52,40,88,75.46999999999997,1.5
179,pemba,MZ,2020-10-10 12:19:52,-12.97,40.52,20,78,78.27799999999996,5.7
180,tuatapere,NZ,2020-10-10 12:19:53,-46.13,167.68,98,76,53.27599999999999,2.24
181,muros,ES,2020-10-10 12:19:53,42.78,-9.06,5,68,66.27200000000005,4.47
182,sioux lookout,CA,2020-10-10 12:19:53,50.1,-91.92,40,69,37.66999999999996,2.1
183,brae,GB,2020-10-10 12:19:53,60.4,-1.35,8,87,46.66999999999996,2.6
184,yellowknife,CA,2020-10-10 12:19:53,62.46,-114.35,90,93,39.469999999999956,4.1
185,los llanos de aridane,ES,2020-10-10 12:19:53,28.66,-17.92,75,73,75.46999999999997,6.2
186,san quintin,MX,2020-10-10 12:19:53,30.48,-115.95,78,69,71.20399999999995,5.66
187,prince rupert,CA,2020-10-10 12:15:28,54.32,-130.32,90,87,48.469999999999956,2.6
188,phan thiet,VN,2020-10-10 12:16:34,10.93,108.1,100,90,76.49600000000005,2.19
189,macaboboni,,,,,,,,
190,bilibino,RU,2020-10-10 12:19:54,68.05,166.44,82,93,15.475999999999988,1.01
191,gushikawa,JP,2020-10-10 12:19:54,26.35,127.87,1,94,79.06999999999996,1.5
192,cairns,AU,2020-10-10 12:19:54,-16.92,145.77,55,69,73.66999999999996,4.6
193,coihaique,CL,2020-10-10 12:19:54,-45.58,-72.07,20,47,57.469999999999956,3.6
194,fairbanks,US,2020-10-10 12:16:20,64.84,-147.72,1,79,30.272000000000038,3.6
195,richards bay,ZA,2020-10-10 12:19:54,-28.78,32.04,85,65,66.93800000000005,7.87
196,norman wells,CA,2020-10-10 12:19:54,65.28,-126.83,75,93,35.86999999999996,1.03
197,linxia,CN,2020-10-10 12:19:54,35.6,103.21,96,44,53.653999999999954,1.01
198,sao joao da barra,BR,2020-10-10 12:19:54,-21.64,-41.05,90,73,77.26999999999995,5.1
